city_id,country_name_oa,country_name_wb,iso_code,iso_country_3,city_lat,city_lon,city_pop,city_tier,city_name,city_avg_temp,city_max_temp,nearest_airport_type,nearest_airport_name,nearest_airport_ident,dist_to_nearest_airport_km,nearest_airport_lat,nearest_airport_lon,nearest_airport_elev_m,nearest_runway_length_m,nearest_runway_width_m,nearest_runway_area_km2,country_GDP($b),country_GDPcap($000s),country_pop(m),country_popden_persqkm,air_passengers(m)
3471393,Brazil,Brazil,BR,BRA,-23.39611,-46.32083,91157,Tier 4,Arujá,19.697916,27.0,large_airport,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,SBGR,15.710816666569873,-23.431274,-46.469954,750.1128,3699.9672,45.110400000000006,0.16690700037888,2191.13186970602,10.3775897719195,211.140729,25.2616884857157,95.398485
1258291,India,India,IN,IND,14.05723,78.75056,91234,Tier 4,Rayachoti,28.46875,38.0,medium_airport,Kadapa Airport,VOCP,50.73613732519529,14.513154,78.769183,131.064,2000.0976,45.110400000000006,0.09022520277504002,3638.48909603386,2.53012031278204,1438.069596,483.679010086809,180.41578422799998
1213855,Indonesia,Indonesia,ID,IDN,1.74016,98.78117,91265,Tier 4,Sibolga,27.114584,32.75,medium_airport,Dr. Ferdinand Lumban Tobing Airport,WIMS,23.515157049619578,1.557127,98.887145,10.0584,1723.644,29.8704,0.0514859357376,1371.1693015636201,4.87630774512252,281.190067,148.57692229227,97.045784754
2300068,Ghana,Ghana,GH,GHA,10.53689,-2.70155,91279,Tier 4,Jirapa,28.854166,39.0,small_airport,Wa Airport,DGLW,54.7759219598409,10.0827,-2.50769,323.088,2015.3376,44.196000000000005,0.08906986056960002,80.5471468783843,2.3839041048341802,33.787914,148.49676310689,0.44068
2185018,New Zealand,New Zealand,NZ,NZL,-40.35636,175.61113,91300,Tier 4,Palmerston North,14.052083,24.25,medium_airport,Palmerston North Airport,NZPM,4.007487188997274,-40.320599,175.617004,46.0248,1901.952,45.110400000000006,0.08579781550080001,255.194972673122,49.0759562832927,5.2,19.7485853176864,15.033154913
3385935,Brazil,Brazil,BR,BRA,-3.76585,-49.67923,91306,Tier 4,Tucuruí,27.697916,34.75,medium_airport,Tucuruí Airport,SBTU,5.078302308262062,-3.78601,-49.720299,252.984,2000.0976,45.110400000000006,0.09022520277504002,2191.13186970602,10.3775897719195,211.140729,25.2616884857157,95.398485
1591493,Vietnam,Viet Nam,VN,VNM,20.98333,105.83333,91308,Tier 4,Bạch Mai,25.041666,34.0,large_airport,Noi Bai International Airport,VVNB,26.59071815116727,21.221201,105.806999,11.8872,3799.6368,45.110400000000006,0.17140313590272005,433.85768137829103,4.32335031982451,100.352192,320.175197572656,55.114832
4207400,United States,United States,US,USA,32.84069,-83.6324,91351,Tier 4,Macon,19.541666,34.5,small_airport,Macon Downtown Airport,KMAC,6.895154914665392,32.82210159,-83.56199646,133.1976,1430.7312000000002,30.48,0.043608686976000004,27292.170793214398,81.032262117545,336.806231,36.8198061311277,941.557
1277940,India,India,IN,IND,24.52898,85.06019,91383,Tier 4,Bagaha,26.333334,40.75,medium_airport,Gaya Airport,VEGY,26.355154661045464,24.744301,84.951202,115.82400000000001,2286.0,45.110400000000006,0.10312237440000002,3638.48909603386,2.53012031278204,1438.069596,483.679010086809,180.41578422799998
2873263,Germany,Germany,DE,DEU,51.65671,7.09038,91398,Tier 4,Marl,12.041667,26.0,small_airport,Dinslaken-Schwarze Heide Airfield,EDLD,16.446804070049353,51.616018,6.861262,66.1416,1499.9208,29.8704,0.04480323426432,4562.20753249028,54.7767668235491,83.287273,238.351810090719,80.199572
3841490,Argentina,Argentina,AR,ARG,-33.89101,-60.57462,91399,Tier 4,Pergamino,17.697916,34.0,large_airport,Rosario Islas Malvinas International Airport,SAAR,111.51838968406261,-32.9036,-60.785,25.908,2999.8416,45.110400000000006,0.13532405451264,649.4616879591739,14.2618465667948,45.538401,16.6399559321662,21.057811
10265190,India,India,IN,IND,28.50295,77.31442,91402,Tier 4,Molārband,25.239584,38.0,medium_airport,Safdarjung Airport,VIDD,14.19207668637552,28.585453,77.203563,214.88400000000001,1377.6960000000001,45.72,0.06298826112,3638.48909603386,2.53012031278204,1438.069596,483.679010086809,180.41578422799998
588335,Estonia,Estonia,EE,EST,58.38062,26.72509,91407,Tier 4,Tartu,6.875,24.0,medium_airport,Tartu Airport,EETU,8.443752961229798,58.307438,26.686473,67.056,1799.844,30.7848,0.055407837571200005,41.4703443951086,30.2640064885057,1.370286,32.0684764802247,3.0
211647,Democratic Republic of the Congo,"Congo, Dem. Rep.",CD,COD,-3.52105,23.6005,91409,Tier 4,Lodja,24.697916,30.5,small_airport,Lodja Airport,FZVA,6.684331831006852,-3.462745,23.615162,502.0056,1599.8952000000002,29.8704,0.04778950958208,69.8436554252929,0.66021205238997,105.789731,46.6640484329856,1.150169673
